job_title,company_name,company_location,work_method,post_date,work_time
DESENVOLVEROR(A) BACKEND SÊNIOR ( PYTHON) - TRIBO WEBSTORE EXPERIÊNCIA (100% REMOTO),Luizalabs,Brasil,Remoto,há 4 dias,Tempo integral · Pleno-sênior
Estágio de Desenvolvedor de Software na HOLANDA,AIESEC no Brasil,Campinas e Região,Presencial,há 32 minutos,Tempo integral
ECS | Desenvolvedor Backend Júnior,Serasa Experian,"Blumenau, Santa Catarina, Brasil",Híbrido,há 1 semana,Tempo integral · Assistente
Software Engineer (Crawling/Reverse Engineering) at Argyle,join.com,Brasil,Remoto,há 6 dias,Tempo integral · Pleno-sênior
Pessoa Desenvolvedora Full Stack,Pix Force,"Porto Alegre, Rio Grande do Sul, Brasil",Remoto,há 1 mês,Tempo integral · Pleno-sênior
Artificial Intelligence Intern,Samsung Brasil,"Campinas, São Paulo, Brasil",Híbrido,há 2 meses,Tempo integral
Artificial Intelligence Intern,Samsung Brasil,"Campinas, São Paulo, Brasil",Presencial,há 1 semana,Tempo integral
Desenvolvedor Python - Devops,Martoni's Sistemas Inteligentes,"São Paulo, São Paulo, Brasil",Remoto,há 3 semanas,Tempo integral
Analista Econômico,CDL Porto Alegre,"Porto Alegre, Rio Grande do Sul, Brasil",Presencial,há 2 semanas,Tempo integral
Data Science Intern,Samsung Brasil,"Campinas, São Paulo, Brasil",Remoto,há 1 semana,Tempo integral
Pessoa Consultora de Analise de Dados,Datum,"Porto Alegre, Rio Grande do Sul, Brasil",Remoto,há 3 meses,Tempo integral · Pleno-sênior
Pessoa Estagiária de Desenvolvimento de Software,Roost,"Curitiba, Paraná, Brasil",Presencial,há 3 semanas,Tempo integral · Pleno-sênior
Data Science - Júnior - (Home Office),Atlas Technologies,"Pelotas, Rio Grande do Sul, Brasil",Remoto,há 1 semana,Tempo integral
Python Software Programmer - Work from Home,Oowlish,"Porto Alegre, Rio Grande do Sul, Brasil",Presencial,há 6 dias,Tempo integral · Assistente
ANALISTA DE BUSINESS INTELLIGENCE JR,Agibank,"Campinas, São Paulo, Brasil",Remoto,há 1 hora,Tempo integral
Analista de Dados JR (Vaga afirmativa para pessoas com deficiência),Embraer,"São José dos Campos, São Paulo, Brasil",Híbrido,há 3 semanas,Tempo integral · Pleno-sênior
CIENTISTA DE DADOS JÚNIOR (100% REMOTO),ClearSale,"Barueri, São Paulo, Brasil",Remoto,há 1 semana,Tempo integral · Assistente
Analista de Dados Junior,DocPlanner,"Curitiba, Paraná, Brasil",Remoto,há 6 dias,Tempo integral · Assistente
Engenheiro de dados,Vybrant,Brasil,Híbrido,há 1 semana,Tempo integral · Pleno-sênior
Engenheiro de Dados,Unidas,Curitiba e Região,Remoto,há 3 meses,Tempo integral · Pleno-sênior
